,long2,lats2,long,lat,City,State,Population
0,-85.2504893,31.5718352,0,0,Abbeville city,Alabama,2379
1,-86.9561059,33.6009389,1,1,Adamsville city,Alabama,4294
2,-87.1814012,34.2023243,2,2,Addison town,Alabama,668
3,-87.7425105,32.8765165,3,3,Akron town,Alabama,226
4,-86.8163773,33.2442813,4,4,Alabaster city,Alabama,33676
5,-86.20886689999999,34.2675937,5,5,Albertville city,Alabama,22522
6,-85.9538532,32.944012,6,6,Alexander City city,Alabama,14618
7,-88.15141659999999,33.1295681,7,7,Aliceville city,Alabama,2123
8,-86.50943149999999,33.9120429,8,8,Allgood town,Alabama,545
9,-86.3260923,34.0262082,9,9,Altoona town,Alabama,951
10,-86.48329129999999,31.3085039,10,10,Andalusia city,Alabama,8715
11,-87.266407,34.9284179,11,11,Anderson town,Alabama,256
12,-85.8316318,33.6598257,12,12,Anniston city,Alabama,21157
13,-86.4958219,34.31814970000001,13,13,Arab city,Alabama,8498
14,-86.8396032,34.9840722,14,14,Ardmore town,Alabama,1370
15,-86.5021814,33.6884778,15,15,Argo town,Alabama,4401
16,-85.7188298,31.6001655,16,16,Ariton town,Alabama,655
17,-87.2122325,34.0789929,17,17,Arley town,Alabama,330
18,-85.23632099999999,31.1829562,18,18,Ashford town,Alabama,2247
19,-85.83607409999999,33.2737256,19,19,Ashland town,Alabama,1969
20,-86.2544223,33.8370433,20,20,Ashville city,Alabama,2347
21,-86.9716741,34.8028661,21,21,Athens city,Alabama,27027
22,-87.4938708,31.0237921,22,22,Atmore city,Alabama,8542
23,-86.0885852,34.0217639,23,23,Attalla city,Alabama,5839
24,-85.48078249999999,32.6098566,24,24,Auburn city,Alabama,78564
25,-86.65470189999999,32.4340249,25,25,Autaugaville town,Alabama,792
26,-85.2860436,31.1893444,26,26,Avon town,Alabama,466
27,-86.3255085,31.2796139,27,27,Babbie town,Alabama,633
28,-86.6127712,34.2623179,28,28,Baileyton town,Alabama,660
29,-85.30217929999999,31.7810167,29,29,Bakerhill town,Alabama,207
30,-85.8430034,31.8151585,30,30,Banks town,Alabama,155
31,-87.7730474,30.8829628,31,31,Bay Minette city,Alabama,7894
32,-88.26071879999999,30.4069515,32,32,Bayou La Batre city,Alabama,2182
33,-87.7005833,34.2748197,33,33,Bear Creek town,Alabama,1043
34,-87.2047082,31.7334888,34,34,Beatrice town,Alabama,203
35,-88.0203075,33.9312162,35,35,Beaverton town,Alabama,183
36,-87.9314109,33.647611,36,36,Belk town,Alabama,188
37,-86.8177608,32.3068054,37,37,Benton town,Alabama,39
38,-86.742767,34.182781,38,38,Berlin town,Alabama,498
39,-87.6000098,33.6598332,39,39,Berry town,Alabama,1204
40,-86.954437,33.4017766,40,40,Bessemer city,Alabama,25615
41,-86.717761,32.6595749,41,41,Billingsley town,Alabama,126
42,-86.8103567,33.5185892,42,42,Birmingham city,Alabama,197575
43,-85.7443772,31.0093468,43,43,Black town,Alabama,226
44,-86.5911026,34.0814863,44,44,Blountsville town,Alabama,1827
45,-85.5066063,31.6637769,45,45,Blue Springs town,Alabama,81
46,-86.15209689999999,34.2031662,46,46,Boaz city,Alabama,10161
47,-88.02890719999999,32.7559654,47,47,Boligee town,Alabama,297
48,-86.3355323,33.2637246,48,48,Bon Air town,Alabama,168
49,-86.2571786,31.5823832,49,49,Brantley town,Alabama,807
50,-87.1647184,32.9373463,50,50,Brent city,Alabama,2977
51,-87.0721918,31.1051779,51,51,Brewton city,Alabama,5261
52,-85.7144155,34.9475807,52,52,Bridgeport city,Alabama,2257
53,-86.9472148,33.4342755,53,53,Brighton city,Alabama,2299
54,-87.7583574,34.0253797,54,54,Brilliant town,Alabama,833
55,-86.9166611,33.6378825,55,55,Brookside town,Alabama,1232
56,-87.3208336,33.2556719,56,56,Brookwood town,Alabama,2473
57,-85.81605669999999,31.7201615,57,57,Brundidge city,Alabama,2070
